,weight,dipole,m,d,polar,B0a,B0b,B0c,quadrupole_xx,quadrupole_yy,quadrupole_zz
HCN,27.0253,2.98,2,363,2.593,100000,1.47822,1.47822,-0.954,-0.954,1.909
HCOOH,46.0254,1.41,2,400,3.319,2.58548,0.40211,0.34745,-5.3,5.2,0.1
HD,3.02204,0.000856,2,289,0.787,100000,45.655,45.655,-0.26,-0.26,0.52
HDO,19.0216,1.857,2,285.5,1.501,23.38,9.10,6.41,-2.29,2.55,-0.26
He,4.002602,0,6,258,0.208,100000,100000,1.6227512,0,0,0
HF,20.00689,1.826526,2,314.8,0.8,100000,20.5597234,20.5597234,-1.17,-1.17,2.339
HI,127.91241,0.45,2,400,5.453,100000,6.42637,6.42637,-2.622,-2.622,5.244
HNO3,63.0128,2.17,2,480,3.16,0.43401,0.40361,0.20883,-3.494,2.206,1.289
HO2,33.0067,2.09007775,2,311,2.027,20.3565161,1.11790671,1.0564642,1.049,-0.329,-0.721
HOBr,95.92568,1.38,2,300,2.215,20.47007,0.3528,0.34634,0.716,1.953,-2.669
HOCl,53.97324,1.51,2,320,3.438,20.46362,0.50424,0.4912,0.96,1.438,-2.398
HONO,47.0134,1.813,2,346,2.247,3.09855,0.41778,0.36749,3.621,-3.531,-0.091
I2,253.80894,0,4,334,9.95,100000,0.0373115,0.0373115,-2.2749,-2.2749,4.5498
KCl,74.4164065,10.52,2,436.21,2.162,100000,0.12863,0.12863,0.415,0.415,-0.83
KF,57.9621096,8.558,2,226.73,0.31,100000,0.27994,0.27994,3.465,3.465,-6.93
KOH,55.9664461,8.556,2,446.31,1.454,100000,0.27381,0.27381,0.2405,0.2405,-0.481
Kr,83.798,0,6,360,2.48,100000,100000,100000,0,0,0
LaO,154.901271,3.207,2,471.2,31.828,100000,0.3525,0.3525,1.73,1.73,-3.46
LiCl,42.4687034,7.085,2,408.2,1.097,100000,0.70652,0.70652,-7.1725,-7.1725,14.345
LiF,26.0144066,6.284,2,559.22,0.698,100000,1.34526,1.34526,-3.2855,-3.2855,6.571
LiH,8.02382847,5.88,2,420.67,0.619,100000,7.51373,7.51373,0.982,0.982,-1.964
LiOH,24.0187431,4.755,2,336.2,3.289,100000,1.17891,1.17891,-5.6075,-5.6075,11.215
